run_id,as_of_date,field,company,company_dir,agent,output_kind,final_recommendation,weighted_signal,payload_hash,payload_bytes,created_at
chair_db_only_2025-05-01_20260518_084002,2025-05-01,반도체,어보브반도체,abov,chair,chair_agent_packet_json,보유,-0.1367,399624d63d7b636be9f39e13726cec2b6ca715b35d30ac2eb414edbd78ad1067,,2026-05-18T08:40:46
chair_db_only_2025-05-01_20260518_085442,2025-05-01,반도체,어보브반도체,abov,chair,chair_agent_packet_json,보유,-0.1367,399624d63d7b636be9f39e13726cec2b6ca715b35d30ac2eb414edbd78ad1067,,2026-05-18T08:55:26
chair_db_only_2025-05-01_20260518_084002,2025-05-01,반도체,어보브반도체,abov,chair,chair_json,보유,-0.1367,399624d63d7b636be9f39e13726cec2b6ca715b35d30ac2eb414edbd78ad1067,,2026-05-18T08:40:46
chair_db_only_2025-05-01_20260518_085442,2025-05-01,반도체,어보브반도체,abov,chair,chair_json,보유,-0.1367,399624d63d7b636be9f39e13726cec2b6ca715b35d30ac2eb414edbd78ad1067,,2026-05-18T08:55:26
chair_db_only_2025-05-01_20260518_084002,2025-05-01,반도체,,abov,chair,chair_report_md,,,12cfa5166d86c51656f7e9ca7ff55c1ebc4f2ce46a1a81f94a5922123fcfa9b4,,2026-05-18T08:40:46
chair_db_only_2025-05-01_20260518_085442,2025-05-01,반도체,,abov,chair,chair_report_md,,,12cfa5166d86c51656f7e9ca7ff55c1ebc4f2ce46a1a81f94a5922123fcfa9b4,,2026-05-18T08:55:26
chair_db_only_2025-05-01_20260518_084002,2025-05-01,반도체,코아시아,coasia,chair,chair_agent_packet_json,매도,-0.2571,2ad94086c5c2d5496c61a63b07f0e6d9bde2e7affa63e80004a7feb296ea29bd,,2026-05-18T08:40:58
chair_db_only_2025-05-01_20260518_085442,2025-05-01,반도체,코아시아,coasia,chair,chair_agent_packet_json,매도,-0.2571,2ad94086c5c2d5496c61a63b07f0e6d9bde2e7affa63e80004a7feb296ea29bd,,2026-05-18T08:55:37
chair_db_only_2025-05-01_20260518_084002,2025-05-01,반도체,코아시아,coasia,chair,chair_json,매도,-0.2571,2ad94086c5c2d5496c61a63b07f0e6d9bde2e7affa63e80004a7feb296ea29bd,,2026-05-18T08:40:58
chair_db_only_2025-05-01_20260518_085442,2025-05-01,반도체,코아시아,coasia,chair,chair_json,매도,-0.2571,2ad94086c5c2d5496c61a63b07f0e6d9bde2e7affa63e80004a7feb296ea29bd,,2026-05-18T08:55:37
chair_db_only_2025-05-01_20260518_084002,2025-05-01,반도체,,coasia,chair,chair_report_md,,,3fc972cc41d7589b1150f19dc10558b82de6b08b006187b655ca78c4f1c0efa0,,2026-05-18T08:40:58
chair_db_only_2025-05-01_20260518_085442,2025-05-01,반도체,,coasia,chair,chair_report_md,,,3fc972cc41d7589b1150f19dc10558b82de6b08b006187b655ca78c4f1c0efa0,,2026-05-18T08:55:37
chair_db_only_2025-05-01_20260518_084002,2025-05-01,반도체,DB하이텍,dbhitek,chair,chair_agent_packet_json,보유,0.0481,fd404291b6420f97c7a882c618ff864093c507e4c9147a5028ce4f3b4728c3d3,,2026-05-18T08:40:28
chair_db_only_2025-05-01_20260518_085442,2025-05-01,반도체,DB하이텍,dbhitek,chair,chair_agent_packet_json,보유,0.0481,fd404291b6420f97c7a882c618ff864093c507e4c9147a5028ce4f3b4728c3d3,,2026-05-18T08:55:05
chair_db_only_2025-05-01_20260518_084002,2025-05-01,반도체,DB하이텍,dbhitek,chair,chair_json,보유,0.0481,fd404291b6420f97c7a882c618ff864093c507e4c9147a5028ce4f3b4728c3d3,,2026-05-18T08:40:28
