run_id,as_of_date,field,company,company_dir,agent,output_kind,packet_agent_count,packet_agents,packet_signals,packet_recommendations,auditor_final_recommendation,auditor_weighted_signal,auditor_passed,failed_agents,payload_hash,payload_bytes,created_at
chair_db_only_2025-05-01_20260518_085442,2025-05-01,반도체,어보브반도체,abov,auditor,auditor_chair_packet_json,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.2125, ""market"": -0.34, ""tech"": -0.39, ""valuation"": -0.1902, ""issue"": 0.2222, ""macro"": -0.45}","{""finance"": ""보유"", ""market"": ""매도"", ""tech"": ""매도"", ""valuation"": ""보유"", ""issue"": ""보유"", ""macro"": ""매도""}",보유,-0.1367,True,,e24888c31e86e7687e13df86ae5e57f14f3966db2b10db7405235ac2b8da8f7b,,2026-05-18T08:55:26
chair_db_only_2025-05-01_20260518_085442,2025-05-01,반도체,코아시아,coasia,auditor,auditor_chair_packet_json,6,"finance,market,tech,valuation,issue,macro","{""finance"": -0.6493, ""market"": -0.2, ""tech"": -0.39, ""valuation"": 0.0767, ""issue"": 0.4286, ""macro"": -0.45}","{""finance"": ""매도"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""보유"", ""issue"": ""매수"", ""macro"": ""매도""}",매도,-0.2571,True,,2c3a20a3f548d5d104e32b26fc4f8a23331e62905be4b99914b0e5c32c2fe36d,,2026-05-18T08:55:37
chair_db_only_2025-05-01_20260518_085442,2025-05-01,반도체,DB하이텍,dbhitek,auditor,auditor_chair_packet_json,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.7078, ""market"": -0.0801, ""tech"": -0.39, ""valuation"": -0.1569, ""issue"": 0.375, ""macro"": -0.45}","{""finance"": ""매수"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""보유"", ""issue"": ""매수"", ""macro"": ""매도""}",보유,0.0481,True,,a5cc4d97188d77f189769110b742ccfff248d359bc442c383c179ed298ccab63,,2026-05-18T08:55:05
chair_db_only_2025-05-01_20260518_085442,2025-05-01,반도체,동진쎄미켐,dongjin_semichem,auditor,auditor_chair_packet_json,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.5086, ""market"": -0.15, ""tech"": -0.39, ""valuation"": 0.3294, ""issue"": 0.8857, ""macro"": -0.45}","{""finance"": ""매수"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""매수"", ""issue"": ""매수"", ""macro"": ""매도""}",보유,0.1361,True,,db4b34df0ffefa4a036f50f3351362580db6001236843abb579f592582a57d2c,,2026-05-18T08:57:09
chair_db_only_2025-05-01_20260518_085442,2025-05-01,반도체,두산테스나,doosan_tesna,auditor,auditor_chair_packet_json,6,"finance,market,tech,valuation,issue,macro","{""finance"": -0.043, ""market"": -0.16, ""tech"": -0.39, ""valuation"": -0.3318, ""issue"": 0.5294, ""macro"": -0.45}","{""finance"": ""보유"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""매도"", ""issue"": ""매수"", ""macro"": ""매도""}",매도,-0.1712,True,,ed16343afb72b88f19f64e9bc02fb2bb790f67ccb36284d35e67dc63dea81f37,,2026-05-18T08:58:14
chair_db_only_2025-05-01_20260518_085442,2025-05-01,반도체,덕산테코피아,duksan,auditor,auditor_chair_packet_json,6,"finance,market,tech,valuation,issue,macro","{""finance"": -0.646, ""market"": -0.22, ""tech"": -0.0658, ""valuation"": -0.4255, ""issue"": 0.661, ""macro"": -0.45}","{""finance"": ""매도"", ""market"": ""보유"", ""tech"": ""보유"", ""valuation"": ""매도"", ""issue"": ""매수"", ""macro"": ""매도""}",매도,-0.2717,True,,ba2e2d7086bcfab870d9ec61e66b4f78bf470e9cc763f8231465577b3bc03078,,2026-05-18T08:54:58
chair_db_only_2025-05-01_20260518_085442,2025-05-01,반도체,이엔에프테크놀로지,enf_tech,auditor,auditor_chair_packet_json,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.7567, ""market"": -0.058, ""tech"": -0.39, ""valuation"": 0.4063, ""issue"": 0.5238, ""macro"": -0.45}","{""finance"": ""매수"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""매수"", ""issue"": ""매수"", ""macro"": ""매도""}",보유,0.1911,True,,e877c670560087af15c8ad08b504b36b9bd3463b520dd0600a0c728de4248f24,,2026-05-18T08:57:54
chair_db_only_2025-05-01_20260518_085442,2025-05-01,반도체,유진테크,eugene_tech,auditor,auditor_chair_packet_json,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.6214, ""market"": -0.18, ""tech"": -0.39, ""valuation"": -0.2877, ""issue"": 0.8462, ""macro"": -0.45}","{""finance"": ""매수"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""매도"", ""issue"": ""매수"", ""macro"": ""매도""}",보유,0.0324,True,,0f1a70f2c74b325173787b9d9da1a1d3dbf48ffa23fd3a578c08dd594be05d1e,,2026-05-18T08:55:50
chair_db_only_2025-05-01_20260518_085442,2025-05-01,반도체,가온칩스,gaochips,auditor,auditor_chair_packet_json,6,"finance,market,tech,valuation,issue,macro","{""finance"": -0.7481, ""market"": -0.15, ""tech"": -0.39, ""valuation"": -0.3599, ""issue"": 0.4783, ""macro"": -0.45}","{""finance"": ""매도"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""매도"", ""issue"": ""매수"", ""macro"": ""매도""}",매도,-0.3567,True,,ba7328d1ea08d999e25b6e53be0ada7ada40a02428fa2a07eb93cc3cb5a9be75,,2026-05-18T08:55:41
chair_db_only_2025-05-01_20260518_085442,2025-05-01,반도체,GST,gst,auditor,auditor_chair_packet_json,6,"finance,market,tech,valuation,issue,macro","{""finance"": 0.7531, ""market"": -0.21, ""tech"": -0.39, ""valuation"": -0.1591, ""issue"": 0.4, ""macro"": -0.45}","{""finance"": ""매수"", ""market"": ""보유"", ""tech"": ""매도"", ""valuation"": ""보유"", ""issue"": ""매수"", ""macro"": ""매도""}",보유,0.042,True,,14c6fb933091ddada3635b728b9c471472b6b21512d5a333b8e6a86838edb6de,,2026-05-18T08:56:07
