field,company,ticker,stock_code,company_dir,vc_role,earnings,order_contract,customer_adoption,capacity_expansion,regulation,lawsuit,supply_chain,technology_validation,financing_dilution,capital_structure,analyst_rating,credit_rating,default_exposure,evidence_note
반도체,네패스,033640,033640,nepes,후공정/패키징/테스트,0.9,1.15,1.15,1.15,,,,1.15,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,한미반도체,042700,042700,hanmi,후공정/패키징/테스트,0.9,1.15,1.15,1.15,,,,1.15,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,한솔케미칼,014680,014680,hansol,소재,0.9,1.15,1.15,,1.15,,1.15,,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,덕산테코피아,317330,317330,duksan,소재,0.9,1.15,1.15,,1.15,,1.15,,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,엘티씨,170920,170920,ltc,소재/장비,0.9,1.15,1.15,,1.15,,1.15,,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,DB하이텍,000990,000990,dbhitek,파운드리/제조,0.9,,,,,,,,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,미코,059090,059090,mico,소재/부품,0.9,1.15,1.15,,1.15,,1.15,,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,LX세미콘,108320,108320,lxsemicon,팹리스/설계,0.9,,,,,,,,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,제주반도체,080220,080220,jeju_semicon,팹리스/메모리,0.9,,,,,,,,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,어보브반도체,102120,102120,abov,팹리스/MCU,0.9,,,,,,,,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,텔레칩스,054450,054450,telechips,차량용 반도체,0.9,,,,,,,,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,코아시아,045970,045970,coasia,디자인솔루션,0.9,,,,,,,,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,가온칩스,399720,399720,gaochips,디자인하우스,0.9,,,,,,,,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,원익IPS,240810,240810,wonik_ips,장비,0.9,1.15,1.15,1.15,,,,1.15,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,유진테크,084370,084370,eugene_tech,장비,0.9,1.15,1.15,1.15,,,,1.15,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,피에스케이,319660,319660,psk,장비,0.9,1.15,1.15,1.15,,,,1.15,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,테스,095610,095610,tes,장비,0.9,1.15,1.15,1.15,,,,1.15,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,GST,083450,083450,gst,장비,0.9,1.15,1.15,1.15,,,,1.15,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,에스티아이,039440,039440,sti,장비,0.9,1.15,1.15,1.15,,,,1.15,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,넥스틴,348210,348210,nextin,검사장비,0.9,1.15,1.15,1.15,,,,1.15,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,솔브레인,357780,357780,soulbrain,소재,0.9,1.15,1.15,,1.15,,1.15,,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,동진쎄미켐,005290,005290,dongjin_semichem,소재,0.9,1.15,1.15,,1.15,,1.15,,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,원익머트리얼즈,104830,104830,wonik_materials,소재,0.9,1.15,1.15,,1.15,,1.15,,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,이엔에프테크놀로지,102710,102710,enf_tech,소재,0.9,1.15,1.15,,1.15,,1.15,,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,티씨케이,064760,064760,tck,소재/부품,0.9,1.15,1.15,,1.15,,1.15,,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,월덱스,101160,101160,woldex,소재/부품,0.9,1.15,1.15,,1.15,,1.15,,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,ISC,095340,095340,isc,테스트/소켓,0.9,1.15,1.15,1.15,,,,1.15,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,SFA반도체,036540,036540,sfa_semicon,후공정/패키징/테스트,0.9,1.15,1.15,1.15,,,,1.15,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,두산테스나,131970,131970,doosan_tesna,테스트,0.9,1.15,1.15,1.15,,,,1.15,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
반도체,리노공업,058470,058470,leeno,테스트/소켓,0.9,1.15,1.15,1.15,,,,1.15,0.9,0.9,,0.9,0.7,auto template; edit manually when company-specific issue sensitivity is available
