universe_id,company_name,ticker,market,sector_theme,sector_label,peer_group,semiconductor_tag,is_focal,selected_for_30,include_in_chair,reference_role,selection_rank_global,selection_rank_in_sector,selection_score,selection_reason,valuation_proxy_score,valuation_proxy_label,credit_risk_score,credit_proxy_label,valuation_pred_label,credit_pred_label,valuation_confidence,credit_confidence,valuation_confidence_bucket,credit_confidence_bucket,credit_anomaly_flag_top15pct,auditor_requires_human_review,data_quality_status,manual_review_priority,market_data_available,data_requirements,source_type,review_flag,created_at,notes
소재_01_014680,한솔케미칼,014680,KOSPI,소재,소재,소재,소재,1,1,1,FOCAL_REPORT_TARGET,1,1,1100.2721,현재 MVP focal 기업; valuation=ATTRACTIVE; credit=LOW_RISK; quality=OK; human_review=False,0.6330769230769231,ATTRACTIVE,0.0,LOW_RISK,ATTRACTIVE,LOW_RISK,0.8364696976606926,0.9711543901439185,HIGH,HIGH,False,False,OK,LOW,True,KIPRIS patents|DART business report|finance overlay|market data|news optional,valuation_credit_ml_overlay_candidate.csv,OK,2026-05-07T22:02:47,개별 company 폴더 없이 reference universe/peer clustering/percentile 계산에 우선 사용
소재_02_170920,엘티씨,170920,KOSDAQ,소재,소재,소재,소재,1,1,1,FOCAL_REPORT_TARGET,2,2,1090.7717,현재 MVP focal 기업; valuation=FAIR; credit=LOW_RISK; quality=OK; human_review=False,0.5838461538461538,FAIR,0.0,LOW_RISK,ATTRACTIVE,LOW_RISK,0.6353016273848794,0.9205018564538214,MEDIUM,HIGH,False,False,OK,LOW,True,KIPRIS patents|DART business report|finance overlay|market data|news optional,valuation_credit_ml_overlay_candidate.csv,OK,2026-05-07T22:02:47,개별 company 폴더 없이 reference universe/peer clustering/percentile 계산에 우선 사용
후공정_패키징_테스트_01_033640,네패스,033640,KOSDAQ,후공정_패키징_테스트,후공정/패키징/테스트,후공정/패키징/테스트,후공정/패키징/테스트,1,1,1,FOCAL_REPORT_TARGET,3,1,1082.296,현재 MVP focal 기업; valuation=ATTRACTIVE; credit=MEDIUM_RISK; quality=OK; human_review=False,0.6385185185185186,ATTRACTIVE,0.2857142857142857,MEDIUM_RISK,ATTRACTIVE,MEDIUM_RISK,0.8763685947958789,0.5963458259503356,HIGH,MEDIUM,False,False,OK,LOW,True,KIPRIS patents|DART business report|finance overlay|market data|news optional,valuation_credit_ml_overlay_candidate.csv,OK,2026-05-07T22:02:47,개별 company 폴더 없이 reference universe/peer clustering/percentile 계산에 우선 사용
후공정_패키징_테스트_02_042700,한미반도체,042700,KOSPI,후공정_패키징_테스트,후공정/패키징/테스트,후공정/패키징/테스트,후공정/패키징/테스트,1,1,1,FOCAL_REPORT_TARGET,4,2,1071.7905,현재 MVP focal 기업; valuation=FAIR; credit=LOW_RISK; quality=OK; human_review=True,0.4712592592592592,FAIR,0.0,LOW_RISK,FAIR,LOW_RISK,0.618072727307107,0.9350232170644448,MEDIUM,HIGH,True,True,OK,LOW,True,KIPRIS patents|DART business report|finance overlay|market data|news optional,valuation_credit_ml_overlay_candidate.csv,AUDITOR_REVIEW;CREDIT_ANOMALY_TOP15PCT,2026-05-07T22:02:47,개별 company 폴더 없이 reference universe/peer clustering/percentile 계산에 우선 사용
소재_03_317330,덕산테코피아,317330,KOSDAQ,소재,소재,소재,소재,1,1,1,FOCAL_REPORT_TARGET,5,3,1026.9482,현재 MVP focal 기업; valuation=EXPENSIVE; credit=HIGH_RISK; quality=OK; human_review=True,0.251025641025641,EXPENSIVE,0.7142857142857143,HIGH_RISK,EXPENSIVE,HIGH_RISK,0.9683283970250778,0.9663044353705786,HIGH,HIGH,True,True,OK,LOW,True,KIPRIS patents|DART business report|finance overlay|market data|news optional,valuation_credit_ml_overlay_candidate.csv,AUDITOR_REVIEW;CREDIT_ANOMALY_TOP15PCT,2026-05-07T22:02:47,개별 company 폴더 없이 reference universe/peer clustering/percentile 계산에 우선 사용
소재_04_101160,월덱스,101160,KOSDAQ,소재,소재,소재,소재,0,1,0,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,6,4,105.8433,valuation/credit ML overlay 기반 reference peer 후보; valuation=ATTRACTIVE; credit=LOW_RISK; quality=OK; human_review=False,0.745897435897436,ATTRACTIVE,0.0,LOW_RISK,ATTRACTIVE,LOW_RISK,0.9476922450763601,0.9681016473230849,HIGH,HIGH,False,False,OK,LOW,True,KIPRIS patents|DART business report|finance overlay|market data|news optional,valuation_credit_ml_overlay_candidate.csv,OK,2026-05-07T22:02:47,개별 company 폴더 없이 reference universe/peer clustering/percentile 계산에 우선 사용
idm_제조_메모리_01_241770,메카로,241770,KOSDAQ,idm_제조_메모리,IDM/제조/메모리,IDM/제조/메모리,IDM/제조/메모리,0,1,0,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,7,1,104.6945,valuation/credit ML overlay 기반 reference peer 후보; valuation=ATTRACTIVE; credit=LOW_RISK; quality=OK; human_review=False,0.7476666666666667,ATTRACTIVE,0.0,LOW_RISK,ATTRACTIVE,LOW_RISK,0.9154158498128573,0.9196609311939408,HIGH,HIGH,False,False,OK,LOW,True,KIPRIS patents|DART business report|finance overlay|market data|news optional,valuation_credit_ml_overlay_candidate.csv,OK,2026-05-07T22:02:47,개별 company 폴더 없이 reference universe/peer clustering/percentile 계산에 우선 사용
팹리스_설계_01_108320,LX세미콘,108320,KOSPI,팹리스_설계,팹리스/설계,팹리스/설계,팹리스/설계,0,1,0,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,8,1,104.1154,valuation/credit ML overlay 기반 reference peer 후보; valuation=ATTRACTIVE; credit=LOW_RISK; quality=OK; human_review=False,0.6953535353535354,ATTRACTIVE,0.0,LOW_RISK,ATTRACTIVE,LOW_RISK,0.951012131492064,0.9675260077633142,HIGH,HIGH,False,False,OK,LOW,True,KIPRIS patents|DART business report|finance overlay|market data|news optional,valuation_credit_ml_overlay_candidate.csv,OK,2026-05-07T22:02:47,개별 company 폴더 없이 reference universe/peer clustering/percentile 계산에 우선 사용
장비_01_141000,비아트론,141000,KOSDAQ,장비,장비,장비,장비,0,1,0,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,9,1,104.0061,valuation/credit ML overlay 기반 reference peer 후보; valuation=ATTRACTIVE; credit=LOW_RISK; quality=OK; human_review=False,0.7105333333333335,ATTRACTIVE,0.0,LOW_RISK,ATTRACTIVE,LOW_RISK,0.934708213344448,0.9411184099481913,HIGH,HIGH,False,False,OK,LOW,True,KIPRIS patents|DART business report|finance overlay|market data|news optional,valuation_credit_ml_overlay_candidate.csv,OK,2026-05-07T22:02:47,개별 company 폴더 없이 reference universe/peer clustering/percentile 계산에 우선 사용
팹리스_설계_02_052860,아이앤씨,052860,KOSDAQ,팹리스_설계,팹리스/설계,팹리스/설계,팹리스/설계,0,1,0,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,10,2,103.9195,valuation/credit ML overlay 기반 reference peer 후보; valuation=ATTRACTIVE; credit=LOW_RISK; quality=OK; human_review=False,0.7325252525252526,ATTRACTIVE,0.0,LOW_RISK,ATTRACTIVE,LOW_RISK,0.9267130449922303,0.8920304728976969,HIGH,HIGH,False,False,OK,LOW,True,KIPRIS patents|DART business report|finance overlay|market data|news optional,valuation_credit_ml_overlay_candidate.csv,OK,2026-05-07T22:02:47,개별 company 폴더 없이 reference universe/peer clustering/percentile 계산에 우선 사용
