field,company,ticker,stock_code,company_dir,vc_role,peer_group,source_kind,fx_beta,raw_material_beta,sox_beta,krx_sector_beta,export_sensitivity,import_cost_sensitivity,rate_sensitivity,supply_chain_sensitivity,confidence,evidence_note,source_files
반도체,네패스,033640,033640,nepes,후공정/패키징/테스트,후공정/패키징/테스트,market_db_workbook_role_proxy,0.2,-0.15,0.7,0.65,0.4,-0.2,-0.25,-0.3,high,market_issues.db/Market_통합.xlsx/Universe의 밸류체인 분류를 이용한 성능평가용 초기 민감도 proxy입니다. 실제 회귀계수가 있으면 이 CSV를 덮어쓰면 됩니다.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory)
반도체,한미반도체,042700,042700,hanmi,"한미반도체 / 후공정 장비 / TC본더, 소 장비, EMI 실드, 2.5D 본더 / 적층·절단",후공정/패키징/테스트,market_db_workbook_role_proxy,0.2,-0.15,0.7,0.65,0.4,-0.2,-0.3,-0.3,proxy_review_required,market_issues.db/Market_통합.xlsx/Universe의 밸류체인 분류를 이용한 성능평가용 초기 민감도 proxy입니다. 실제 회귀계수가 있으면 이 CSV를 덮어쓰면 됩니다.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory)
반도체,한솔케미칼,014680,014680,hansol,"한솔케미칼 / 전공정 소재 / 초고순도 과산화수소, 프리커서, QD소재, 특수가스 / 세정·증착",소재,market_db_workbook_role_proxy,0.3,-0.45,0.5,0.5,0.35,-0.35,-0.25,-0.25,proxy_review_required,market_issues.db/Market_통합.xlsx/Universe의 밸류체인 분류를 이용한 성능평가용 초기 민감도 proxy입니다. 실제 회귀계수가 있으면 이 CSV를 덮어쓰면 됩니다.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory)
반도체,덕산테코피아,317330,317330,duksan,"덕산테코피아 / 전공정 소재 (OLED·배터리 복합) / 반도체 프리커서, OLED 유기재료, 2차전지 전해액 / 증착·디스플레이",소재,market_db_workbook_role_proxy,0.3,-0.45,0.5,0.5,0.35,-0.35,-0.25,-0.25,proxy_review_required,market_issues.db/Market_통합.xlsx/Universe의 밸류체인 분류를 이용한 성능평가용 초기 민감도 proxy입니다. 실제 회귀계수가 있으면 이 CSV를 덮어쓰면 됩니다.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory)
반도체,엘티씨,170920,170920,ltc,"엘티씨 / 전공정 소재 + 장비 / PR 박리액, 세정액·식각액, TSV 세정 장비 / 세정·박리",소재/장비,market_db_workbook_role_proxy,0.3,-0.45,0.5,0.6,0.4,-0.35,-0.3,-0.35,proxy_review_required,market_issues.db/Market_통합.xlsx/Universe의 밸류체인 분류를 이용한 성능평가용 초기 민감도 proxy입니다. 실제 회귀계수가 있으면 이 CSV를 덮어쓰면 됩니다.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory)
반도체,DB하이텍,000990,000990,dbhitek,파운드리/제조,파운드리/제조,market_db_workbook_role_proxy,0.2,-0.15,0.8,0.7,0.5,-0.2,-0.35,-0.25,proxy_review_required,market_issues.db/Market_통합.xlsx/Universe의 밸류체인 분류를 이용한 성능평가용 초기 민감도 proxy입니다. 실제 회귀계수가 있으면 이 CSV를 덮어쓰면 됩니다.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory)
반도체,미코,059090,059090,mico,소재/부품,소재/부품,market_db_workbook_role_proxy,0.3,-0.45,0.5,0.5,0.35,-0.35,-0.25,-0.25,proxy_review_required,market_issues.db/Market_통합.xlsx/Universe의 밸류체인 분류를 이용한 성능평가용 초기 민감도 proxy입니다. 실제 회귀계수가 있으면 이 CSV를 덮어쓰면 됩니다.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory)
반도체,LX세미콘,108320,108320,lxsemicon,팹리스/설계,팹리스/설계,market_db_workbook_role_proxy,0.2,-0.15,0.85,0.65,0.45,-0.2,-0.35,-0.25,proxy_review_required,market_issues.db/Market_통합.xlsx/Universe의 밸류체인 분류를 이용한 성능평가용 초기 민감도 proxy입니다. 실제 회귀계수가 있으면 이 CSV를 덮어쓰면 됩니다.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory)
반도체,제주반도체,080220,080220,jeju_semicon,팹리스/메모리,팹리스/메모리,market_db_workbook_role_proxy,0.2,-0.15,0.85,0.65,0.45,-0.2,-0.35,-0.25,proxy_review_required,market_issues.db/Market_통합.xlsx/Universe의 밸류체인 분류를 이용한 성능평가용 초기 민감도 proxy입니다. 실제 회귀계수가 있으면 이 CSV를 덮어쓰면 됩니다.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory)
반도체,어보브반도체,102120,102120,abov,팹리스/MCU,팹리스/MCU,market_db_workbook_role_proxy,0.2,-0.15,0.85,0.65,0.45,-0.2,-0.35,-0.25,proxy_review_required,market_issues.db/Market_통합.xlsx/Universe의 밸류체인 분류를 이용한 성능평가용 초기 민감도 proxy입니다. 실제 회귀계수가 있으면 이 CSV를 덮어쓰면 됩니다.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory)
