source_application_number,source_invention_title,source_ipc_number,source_application_date,source_register_status,source_final_disposal,source_right_holder,citation_record_index,citation_direction,cited_application_number,citing_application_number,citing_invention_title,citing_applicant_name,citation_date,citation_category,is_self_citation_estimated,parse_type,http_status_code,request_ok,request_url
1020210124972,저열전도 샤프트를 구비하는 고온용 서셉터,H10P 72/76,2021-09-17,등록,등록,주식회사 미코세라믹스,1,BACKWARD_CITATION_ESTIMATED,1020210124972,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210124972&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020227035197,n형 도핑된 게르마늄 단결정 및 그로부터 유도된 웨이퍼,C30B 29/08|C30B 15/04|G01N 21/552|H10P 10/00|H01S 5/183,2021-03-12,등록,등록,유미코아,1,BACKWARD_CITATION_ESTIMATED,1020227035197,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020227035197&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240026434,서셉터 제조 방법 및 그 방법에 의해 제조된 서셉터,H10P 72/76|H10P 72/70|H10P 72/00,2024-02-23,등록,등록,주식회사 미코세라믹스,1,BACKWARD_CITATION_ESTIMATED,1020240026434,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240026434&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020187009571,우선 성장 배향을 갖는 전기도금 구리층의 제조 방법,C25D 3/38|C25D 7/12|C25D 17/10|C25D 21/10|H10P 14/46|H10W 20/44,2017-09-26,등록,등록,"우미코레 쑤저우 세미컨덕터 머티리얼즈 캄파니, 리미티드",1,BACKWARD_CITATION_ESTIMATED,1020187009571,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020187009571&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020190095376,정전척 히터 및 그 제조방법,H10P 72/00|H10P 72/70|H02N 13/00|B23Q 3/15,2019-08-06,등록,등록,주식회사 미코세라믹스,1,BACKWARD_CITATION_ESTIMATED,1020190095376,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020190095376&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020060030252,"정전척, 조립형 정전 흡착 장치, 글라스 기판 접합 장치 및조립형 글라스 기판 접합 장치",H10P 72/70|H10P 72/76|H02N 13/00|G02F 1/1333,2006-04-03,등록,등록,주식회사 미코,1,BACKWARD_CITATION_ESTIMATED,1020060030252,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020060030252&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020070073572,프로브 카드의 니들 팁 형성 방법,H10P 74/00|G01R 1/067,2007-07-23,등록,등록,(주)미코엠에스티,1,BACKWARD_CITATION_ESTIMATED,1020070073572,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020070073572&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020080019877,기판 지지 장치 및 이를 포함하는 기판 처리 장치,H10P 72/70|H10P 72/00|H02N 13/00,2008-03-04,등록,등록,주식회사 미코,1,BACKWARD_CITATION_ESTIMATED,1020080019877,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020080019877&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020090077369,정전척 및 이의 제조 방법,H10P 72/70|H10P 72/76|H02N 13/00,2009-08-21,등록,등록,주식회사 미코,1,BACKWARD_CITATION_ESTIMATED,1020090077369,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020090077369&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020090107972,홀을 갖는 대상물을 세정하는 장치,H10P 50/00|H10P 50/20|H10P 10/00,2009-11-10,등록,등록,(주)코미코,1,BACKWARD_CITATION_ESTIMATED,1020090107972,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020090107972&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200017759,풀러렌을 포함하는 안티폴루션용 화장료 조성물,A61K 8/19|A61K 8/81|A61K 8/9789|A61Q 17/00,2020-02-13,등록,등록,주식회사 아미코스메틱|한국세라믹기술원,1,BACKWARD_CITATION_ESTIMATED,1020200017759,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200017759&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200049552,아스퍼질러스 튜빙엔시스 효소액을 이용한 진세노사이드 컴파운드 케이 제조용 조성물 및 제조방법,C12P 33/20|C12Q 1/14|C12R 1/66,2020-04-23,등록,등록,아미코젠주식회사,1,BACKWARD_CITATION_ESTIMATED,1020200049552,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200049552&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200075600,도어용 댐퍼장치,E05F 5/02|E05F 1/10,2020-06-22,등록,등록,(주)미코인더스트리,1,BACKWARD_CITATION_ESTIMATED,1020200075600,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200075600&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200143069,웨이셀라 사이베리아 균주를 접종하여 발효시킨 청보리 발효 추출물을 포함하는 피부 보습용 화장료 조성물,A61K 8/9794|A61Q 19/00|A23L 33/105|A23L 29/00|A23K 10/12,2020-10-30,등록,등록,주식회사 아미코스메틱,1,BACKWARD_CITATION_ESTIMATED,1020200143069,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200143069&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
