source_application_number,source_invention_title,source_ipc_number,source_application_date,source_register_status,source_final_disposal,source_right_holder,citation_record_index,citation_direction,cited_application_number,citing_application_number,citing_invention_title,citing_applicant_name,citation_date,citation_category,is_self_citation_estimated,parse_type,http_status_code,request_ok,request_url
1020220050959,전자부품용 핀프레임 절단장치,B21D 28/06|H01R 43/20|B21D 53/36|B21D 43/00|B21D 43/02,2022-04-25,등록,등록,(주)지에스티,1,BACKWARD_CITATION_ESTIMATED,1020220050959,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220050959&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020220168539,회전드럼 내에서 부순모래가 파쇄 분리되면서 회전드럼에 일체로 형성된 미분분리실에서 에어폭기를 통해 연속적으로 미분이 분리되는 미분 분리장치,B03B 9/00|B02C 23/08|B02C 19/11|B07B 9/02|B04C 9/00|F26B 3/02|F26B 9/06,2022-12-06,등록,등록,(주)지에스티,1,BACKWARD_CITATION_ESTIMATED,1020220168539,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220168539&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150138065,붕소 확산 최소화를 위한 MgO 터널링 장벽층과 질소-함유층을 포함한 터널링 자기저항(TMR) 소자,H10N 50/80|H10N 50/01,2015-09-30,거절,거절,에이취지에스티 네덜란드 비.브이.,1,BACKWARD_CITATION_ESTIMATED,1020150138065,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150138065&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020160082752,전기 도금된 상 변화 스위치,H10N 70/00,2016-06-30,소멸,소멸,에이취지에스티 네덜란드 비.브이.,1,BACKWARD_CITATION_ESTIMATED,1020160082752,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020160082752&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020160082886,조절 가능한 셀 비트 형상을 가지는 비휘발성 메모리,G11C 11/56|G11C 13/00|H10N 70/00,2016-06-30,소멸,소멸,에이취지에스티 네덜란드 비.브이.,1,BACKWARD_CITATION_ESTIMATED,1020160082886,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020160082886&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020160146674,집중된 전계를 갖는 저항성 RAM 셀,H10N 70/00,2016-11-04,거절,거절,에이취지에스티 네덜란드 비.브이.,1,BACKWARD_CITATION_ESTIMATED,1020160146674,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020160146674&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020020025992,플라스마 용접기 및 이를 이용한 소형 용접형 벨로우즈제조방법,B21D 15/00|B23K 10/02|B23K 101/06,2002-05-11,소멸,소멸,(주)지에스티산업,1,BACKWARD_CITATION_ESTIMATED,1020020025992,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020020025992&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020130021189,SMR RAID용의 대블록 무작위 쓰기 핫 스페어 SSD 구현,G06F 12/00|G06F 12/02,2013-02-27,소멸,소멸,에이취지에스티 네덜란드 비.브이.,1,BACKWARD_CITATION_ESTIMATED,1020130021189,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020130021189&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020190171105,수소가스배관 풀로테이션 방폭 천공기,F16L 41/04|B23B 45/04|B23B 47/28|B23B 51/04|B26F 1/00,2019-12-19,취하,취하,주식회사 케이지에스티가스안전장비,1,BACKWARD_CITATION_ESTIMATED,1020190171105,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020190171105&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020010034451,이온 조사에 의해 패터닝된 자성 비트 영역을 갖는 자기 기록 매체,G11B 5/84|G11B 5/65|G11B 5/82|G11B 5/74|G11B 5/00,2001-06-18,소멸,소멸,에이취지에스티 네덜란드 비.브이.,1,BACKWARD_CITATION_ESTIMATED,1020010034451,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020010034451&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
