slug,company,stock_code,export_ratio_pct,raw_material_ratio_pct,china_revenue_ratio_pct,foreign_currency_debt_ratio_pct,interest_bearing_debt_ratio_pct,source,note
dbhitek,DB하이텍,000990,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
gst,GST,083450,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
isc,ISC,095340,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
lxsemicon,LX세미콘,108320,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
sfa_semicon,SFA반도체,036540,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
gaochips,가온칩스,399720,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
nepes,네패스,033640,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
nextin,넥스틴,348210,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
duksan,덕산테코피아,317330,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
dongjin_semichem,동진쎄미켐,005290,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
doosan_tesna,두산테스나,131970,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
leeno,리노공업,058470,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
mico,미코,059090,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
soulbrain,솔브레인,357780,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
abov,어보브반도체,102120,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
sti,에스티아이,039440,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
ltc,엘티씨,170920,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
wonik_ips,원익IPS,240810,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
wonik_materials,원익머트리얼즈,104830,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
woldex,월덱스,101160,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
eugene_tech,유진테크,084370,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
enf_tech,이엔에프테크놀로지,102710,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
jeju_semicon,제주반도체,080220,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
coasia,코아시아,045970,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
tes,테스,095610,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
telechips,텔레칩스,054450,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
tck,티씨케이,064760,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
psk,피에스케이,319660,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
hanmi,한미반도체,042700,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
hansol,한솔케미칼,014680,,,,,,DART 사업보고서/IR 원문 확인 후 입력,값을 모르면 비워두세요. 임의값은 넣지 않습니다.
