source_application_number,source_invention_title,source_ipc_number,source_application_date,source_register_status,source_final_disposal,source_right_holder,citation_record_index,citation_direction,cited_application_number,citing_application_number,citing_invention_title,citing_applicant_name,citation_date,citation_category,is_self_citation_estimated,parse_type,http_status_code,request_ok,request_url
1020200045913,"반도체층 및 그 제조방법, 그리고 이를 포함하는 트랜지스터.",H10P 10/00|H10D 30/67|H10D 48/00|C23C 16/40|C23C 16/455|C23C 16/56,2020-04-16,등록,등록,주식회사 한솔케미칼,1,BACKWARD_CITATION_ESTIMATED,1020200045913,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200045913&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200054948,실리콘 전구체 및 이를 이용한 실리콘 함유 박막의 제조방법,C23C 16/40|C23C 16/34|C23C 16/455|C23C 16/30|H10P 10/00,2020-05-08,등록,등록,주식회사 한솔케미칼,1,BACKWARD_CITATION_ESTIMATED,1020200054948,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200054948&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210051840,이중 경화형 수지 조성물 및 이를 이용한 디스플레이용 접착제,C08F 290/06|C08F 220/34|C08F 220/14|C08F 2/50|C09J 4/06|C09J 5/00,2021-04-21,등록,등록,주식회사 한솔케미칼,1,BACKWARD_CITATION_ESTIMATED,1020210051840,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210051840&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210091490,잉크젯 프린팅용 전자수송층 조성물 및 그 제조방법,C09D 11/322|C09D 11/36|C09D 11/033|C09D 11/037|C09K 11/54|H10K 50/16|H10K 71/13,2021-07-13,등록,등록,주식회사 한솔케미칼,1,BACKWARD_CITATION_ESTIMATED,1020210091490,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210091490&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210124890,발광층 잉크 조성물 및 이를 이용한 전계 발광 소자,C09D 11/38|C09D 11/36|C09D 11/322|C09K 11/02|C09K 11/08|H10K 50/115|H10K 50/17|H10K 71/13,2021-09-17,등록,등록,주식회사 한솔케미칼,1,BACKWARD_CITATION_ESTIMATED,1020210124890,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210124890&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210134958,"내플라즈마성 유리, 반도체 제조 공정을 위한 챔버 내부용 부품 및 그들의 제조 방법",C03C 4/20|C03C 3/091|C03C 3/085|C03B 11/06|C03B 25/00|H10P 72/00,2021-10-12,등록,등록,한솔아이원스 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020210134958,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210134958&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210153838,전면 영상 표출이 가능한 태양광 시스템,H10F 19/80|H10F 19/30|H10H 29/01|H10F 19/90|H10F 10/00,2021-11-10,등록,등록,한솔테크닉스(주),1,BACKWARD_CITATION_ESTIMATED,1020210153838,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210153838&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210159545,유기 금속 화합물을 이용하여 박막을 형성하는 방법 및 이로부터 제조된 박막,C23C 16/40|C23C 16/455|H10N 97/00,2021-11-18,등록,등록,주식회사 한솔케미칼|연세대학교 산학협력단,1,BACKWARD_CITATION_ESTIMATED,1020210159545,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210159545&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210161395,저장안정성 및 경화성이 우수한 광 습기 경화형 수지 조성물,C08F 283/00|C08F 2/50|C08F 2/44|C09J 4/06,2021-11-22,등록,등록,주식회사 한솔케미칼,1,BACKWARD_CITATION_ESTIMATED,1020210161395,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210161395&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020220085724,인공지능 기반의 논문 데이터 전산해석 전처리 자동화 장치 및 방법,G06F 16/34|G06F 16/332|G06F 16/2455|G06F 40/284|G06N 3/0455|G06N 3/08,2022-07-12,등록,등록,남한솔,1,BACKWARD_CITATION_ESTIMATED,1020220085724,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220085724&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020220139461,반도체 설비용 이중배관 센터지지 구조물,H10P 72/00|F16L 7/02|F16L 55/168,2022-10-26,등록,등록,주식회사 한솔세미텍,1,BACKWARD_CITATION_ESTIMATED,1020220139461,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220139461&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020220166555,"내충격성, 내환경성 및 저장안정성이 우수한 이중 경화형 조성물",C09J 4/00|C09J 11/06|C09J 135/02|C08K 5/37|C08F 265/06|C08F 2/50|C08F 2/38|C08F 220/10|C08F 220/28,2022-12-02,등록,등록,주식회사 한솔케미칼,1,BACKWARD_CITATION_ESTIMATED,1020220166555,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220166555&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230062699,"친수성 양자점, 이를 포함하는 친수성 용제형 양자점 잉크 조성물 및, 이를 포함하는 발광소자 및 디스플레이",C09K 11/02|C09D 11/38|H10K 50/115,2023-05-15,등록,등록,삼성전자주식회사|주식회사 한솔케미칼,1,BACKWARD_CITATION_ESTIMATED,1020230062699,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230062699&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230093074,2종의 실리콘 전구체 화합물을 이용하여 박막을 형성하는 방법,C23C 16/455|C23C 16/44|C23C 16/34|C23C 16/40|H10P 10/00,2023-07-18,등록,등록,주식회사 한솔케미칼,1,BACKWARD_CITATION_ESTIMATED,1020230093074,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230093074&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230131930,"양자점 조성물, 그 제조방법, 그의 경화물, 및 이를 포함하는 표시장치",C09K 11/02|C09K 11/70|C09K 11/88|C09D 11/38|C08F 2/44|C08F 271/02|C08F 220/30|C08F 222/10|H10K 59/38|G02F 1/1335,2023-10-04,등록,등록,삼성전자주식회사|주식회사 한솔케미칼,1,BACKWARD_CITATION_ESTIMATED,1020230131930,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230131930&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230161036,"감광성 수지 조성물, 이의 경화물, 패턴의 형성 방법 및 감광성 수지 조성물의 제조 방법",G03F 7/075|G03F 7/004|G03F 7/031|G03F 7/032|H10K 50/10|H10K 59/10|H10K 59/122,2023-11-20,등록,등록,주식회사 한솔케미칼,1,BACKWARD_CITATION_ESTIMATED,1020230161036,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230161036&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230161179,고순도 및 고분자량의 정공수송층 화합물의 제조 방법,C08G 61/12|H10K 85/10|H10K 30/86|H10K 30/50,2023-11-20,등록,등록,주식회사 한솔케미칼,1,BACKWARD_CITATION_ESTIMATED,1020230161179,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230161179&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230185339,"내플라즈마성 유리, 반도체 제조 공정을 위한 챔버 내부용 부품 및 그들의 제조방법",C03C 3/095|C03C 3/087|C03C 3/062|C03C 4/00|C03B 19/09|C03B 11/12|H10P 72/00,2023-12-19,등록,등록,한솔아이원스 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020230185339,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230185339&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240087831,AI를 이용하여 공동주택에서 도배 마감하자를 감지하고 관리하는 시스템 및 그 방법,G06Q 50/08|G06K 7/14|G06K 7/10|G06V 10/764|G06F 3/04817|G06N 3/0464|G06Q 50/10|G06T 7/00,2024-07-03,등록,등록,주식회사 한솔데코|서울주택도시개발공사,1,BACKWARD_CITATION_ESTIMATED,1020240087831,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240087831&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240119506,"양자점 잉크 조성물, 이의 제조방법, 이를 포함하는 경화막, 컬러필터 및 디스플레이 장치",C09D 11/50|C09D 11/322|C09D 11/38|C09K 11/02|C09K 11/62|G02F 1/1335|H10K 59/38,2024-09-03,등록,등록,주식회사 한솔케미칼,1,BACKWARD_CITATION_ESTIMATED,1020240119506,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240119506&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240139966,음성 출력 기능을 갖는 무선 태그 단말기 및 그 운용 방법,G06K 19/077|G06K 19/07|G08B 3/10|G08B 21/04|G06F 40/58|H05B 47/105|F21Y 115/10,2024-10-15,등록,등록,한솔테크닉스(주),1,BACKWARD_CITATION_ESTIMATED,1020240139966,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240139966&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150038177,정전척,H10K 71/00|H10P 72/70,2015-03-19,등록,등록,한솔아이원스 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020150038177,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150038177&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150164082,원자층 증착용(ALD) 유기금속 전구체 화합물 및 이를 이용한 ALD 증착법,C07F 7/10|C07F 7/30|C07F 7/22|C23C 16/455|C23C 16/18|H10P 14/40|H10P 10/00,2015-11-23,등록,등록,주식회사 한솔케미칼,1,BACKWARD_CITATION_ESTIMATED,1020150164082,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150164082&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020160078341,자동차용 보조 손잡이,B60N 3/02|G06F 3/033|B60R 11/00,2016-06-23,등록,등록,주식회사 대한솔루션,1,BACKWARD_CITATION_ESTIMATED,1020160078341,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020160078341&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020160117936,통합 모니터링 시스템 및 그 방법,G06Q 50/10|G06Q 50/04|H04L 12/66|G06F 15/16|G06Q 50/50,2016-09-13,등록,등록,한솔코에버 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020160117936,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020160117936&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020160180180,투명 불소계 박막의 형성 방법 및 이에 따른 투명 불소계 박막,H10P 10/00|H10P 50/20,2016-12-27,등록,등록,한솔아이원스 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020160180180,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020160180180&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020170023267,고정형 국소 배기장치,F24F 13/02|F24F 11/74|F24F 13/08|H10P 10/00|F24F 11/52,2017-02-22,등록,등록,김선혜|(주)한솔이엔지,1,BACKWARD_CITATION_ESTIMATED,1020170023267,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020170023267&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020170065283,플로라이드화 옥사이드 박막의 형성 방법 및 이에 따른 플로라이드화 옥사이드 박막,H10P 10/00|H10P 95/90,2017-05-26,등록,등록,한솔아이원스 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020170065283,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020170065283&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020170065284,플로라이드화 이트륨 옥사이드 코팅막의 형성 방법 및 이에 따른 플로라이드화 이트륨 옥사이드 코팅막,H10P 10/00|H10P 95/90|H10P 50/20,2017-05-26,등록,등록,한솔아이원스 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020170065284,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020170065284&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020170123967,열적 안정성 및 반응성이 우수한 기상 증착 전구체 및 이의 제조방법,C07F 15/04|C23C 16/18|H10P 10/00,2017-09-26,등록,등록,주식회사 한솔케미칼,1,BACKWARD_CITATION_ESTIMATED,1020170123967,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020170123967&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020180030206,미세 LED 패키지 생산 장치 및 방법,H10H 20/00|H10H 20/85|H10H 29/20,2018-03-15,등록,등록,한국광기술원|한솔테크닉스(주),1,BACKWARD_CITATION_ESTIMATED,1020180030206,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020180030206&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020180030210,미세 LED 패키지 생산 장치 및 방법,H10H 20/00|H10H 29/20|H10H 20/85,2018-03-15,등록,등록,한국광기술원|한솔테크닉스(주),1,BACKWARD_CITATION_ESTIMATED,1020180030210,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020180030210&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
