source_application_number,source_invention_title,source_ipc_number,source_application_date,source_register_status,source_final_disposal,source_right_holder,citation_record_index,citation_direction,cited_application_number,citing_application_number,citing_invention_title,citing_applicant_name,citation_date,citation_category,is_self_citation_estimated,parse_type,http_status_code,request_ok,request_url
1020200068465,튜브피팅유닛 및 이를 포함하는 기판처리장치,F16L 47/06|F16L 23/02|H10P 72/00,2020-06-05,등록,등록,주식회사 원익아이피에스,1,BACKWARD_CITATION_ESTIMATED,1020200068465,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200068465&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200112893,기판 처리 장치,H10P 72/76|H10P 72/00|C23C 16/455|C23C 16/458|H01J 37/32,2020-09-04,등록,등록,주식회사 원익아이피에스,1,BACKWARD_CITATION_ESTIMATED,1020200112893,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200112893&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200116435,기판 처리 장치,H01J 37/32|H10P 72/00,2020-09-10,등록,등록,주식회사 원익아이피에스,1,BACKWARD_CITATION_ESTIMATED,1020200116435,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200116435&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200141393,기판처리장치,H01J 37/32|H10P 72/00,2020-10-28,등록,등록,주식회사 원익아이피에스,1,BACKWARD_CITATION_ESTIMATED,1020200141393,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200141393&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200168621,기판 처리 장치,C23C 16/458|C23C 16/46|C23C 16/455|H10P 72/00|H10P 72/76,2020-12-04,등록,등록,주식회사 원익아이피에스,1,BACKWARD_CITATION_ESTIMATED,1020200168621,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200168621&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200178833,반도체 소자의 제조 방법,H10N 97/00|C23C 16/40|H10P 10/00|H10P 50/28,2020-12-18,등록,등록,주식회사 원익아이피에스,1,BACKWARD_CITATION_ESTIMATED,1020200178833,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200178833&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200180494,기판 처리 방법,H10P 72/00|H10P 72/76|H10P 95/90,2020-12-22,등록,등록,주식회사 원익아이피에스,1,BACKWARD_CITATION_ESTIMATED,1020200180494,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200180494&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200182243,"마스크지지모듈, 마스크 얼라인모듈 및 기판처리장치",C23C 16/04|C23C 16/458|H10P 72/50|C23C 16/505,2020-12-23,등록,등록,주식회사 원익아이피에스,1,BACKWARD_CITATION_ESTIMATED,1020200182243,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200182243&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210037483,기판처리장치 및 이를 이용한 기판처리방법,H10P 72/00|H10P 72/76|C23C 16/46|C23C 16/455|H01J 37/32,2021-03-23,등록,등록,주식회사 원익아이피에스,1,BACKWARD_CITATION_ESTIMATED,1020210037483,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210037483&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210153708,기판처리방법,H10N 97/00|H10P 10/00,2021-11-10,등록,등록,주식회사 원익아이피에스,1,BACKWARD_CITATION_ESTIMATED,1020210153708,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210153708&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
